datetime,visibility,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.sunrise,sys.sunset,weather.id,weather.main,weather.description,weather.icon,extraction_date_time,city_name,sys.type,sys.id,rain.1h,date,time,hour
2023-11-15 18:01:17+08:00,10000.0,121.1653,14.2117,26.34,26.34,25.55,26.62,1014.0,87.0,1014.0,1013.0,6.07,74.0,11.53,97.0,2023-11-15 05:55:32+08:00,2023-11-15 17:24:18+08:00,500.0,Rain,light rain,10n,2023-11-15 18:01:17.574460+08:00,Calamba,2.0,2084056.0,0.23,2023-11-15,18:01:17,18
2023-11-15 18:02:01+08:00,10000.0,120.9367,14.3294,25.69,26.8,25.11,26.27,1014.0,95.0,1014.0,1005.0,6.58,74.0,12.42,99.0,2023-11-15 05:56:37+08:00,2023-11-15 17:25:03+08:00,501.0,Rain,moderate rain,10n,2023-11-15 18:02:01.615622+08:00,Dasmariñas,2.0,2084056.0,1.6,2023-11-15,18:02:01,18
2023-11-15 18:02:56+08:00,10000.0,121.1667,13.95,23.59,24.43,23.59,23.59,1014.0,93.0,1014.0,977.0,2.59,56.0,7.35,100.0,2023-11-15 05:55:10+08:00,2023-11-15 17:24:40+08:00,500.0,Rain,light rain,10n,2023-11-15 18:02:56.072474+08:00,Lipa City,2.0,2011004.0,0.69,2023-11-15,18:02:56,18
2023-11-15 18:04:24+08:00,10000.0,120.9337,14.1059,22.28,22.81,21.46,22.53,1014.0,86.0,1014.0,942.0,4.96,69.0,11.74,100.0,2023-11-15 05:56:18+08:00,2023-11-15 17:25:22+08:00,501.0,Rain,moderate rain,10n,2023-11-15 18:04:24.107873+08:00,Tagaytay City,2.0,2084056.0,3.76,2023-11-15,18:04:24,18
2023-11-15 18:04:29+08:00,10000.0,121.1498,14.0863,25.47,26.45,24.66,25.74,1014.0,91.0,1014.0,997.0,3.68,63.0,8.82,99.0,2023-11-15 05:55:25+08:00,2023-11-15 17:24:32+08:00,500.0,Rain,light rain,10n,2023-11-15 18:04:29.580848+08:00,Tanauan,2.0,2084056.0,0.24,2023-11-15,18:04:29,18
2023-11-15 18:04:39+08:00,10000.0,121.5911,14.0289,24.39,25.34,24.39,24.39,1015.0,94.0,1015.0,992.0,4.67,50.0,10.62,100.0,2023-11-15 05:53:34+08:00,2023-11-15 17:22:51+08:00,500.0,Rain,light rain,10n,2023-11-15 18:04:39.955132+08:00,Tayabas,2.0,2011004.0,0.56,2023-11-15,18:04:39,18
2023-11-16 00:04:53+08:00,10000.0,121.5911,14.0289,24.39,25.31,24.39,24.39,1016.0,93.0,1016.0,993.0,4.29,52.0,10.28,98.0,2023-11-16 05:54:02+08:00,2023-11-16 17:22:45+08:00,500.0,Rain,light rain,10n,2023-11-16 00:04:53.147706+08:00,Tayabas,2.0,2011004.0,0.56,2023-11-16,00:04:53,0
2023-11-16 03:03:31+08:00,10000.0,125.6842,7.3081,26.06,26.06,26.06,26.06,1010.0,88.0,1010.0,1010.0,4.0,351.0,7.21,39.0,2023-11-16 05:28:21+08:00,2023-11-16 17:15:40+08:00,501.0,Rain,moderate rain,10n,2023-11-16 03:03:31.885692+08:00,Panabo,1.0,8154.0,1.13,2023-11-16,03:03:31,3
2023-11-16 09:00:37+08:00,10000.0,123.1228,9.5911,26.99,29.53,26.99,26.99,1014.0,78.0,1014.0,1013.0,5.04,58.0,9.0,47.0,2023-11-16 05:41:43+08:00,2023-11-16 17:22:48+08:00,500.0,Rain,light rain,10d,2023-11-16 09:00:37.625329+08:00,Bais,1.0,8185.0,0.3,2023-11-16,09:00:37,9
2023-11-16 09:03:47+08:00,10000.0,125.6842,7.3081,26.06,26.06,26.06,26.06,1013.0,80.0,1013.0,1012.0,3.61,357.0,6.04,98.0,2023-11-16 05:28:21+08:00,2023-11-16 17:15:40+08:00,500.0,Rain,light rain,10d,2023-11-16 09:03:47.316574+08:00,Panabo,1.0,8154.0,0.7,2023-11-16,09:03:47,9
2023-11-16 12:00:27+08:00,10000.0,123.1228,9.5911,28.99,33.67,28.99,28.99,1012.0,75.0,1012.0,1010.0,5.02,40.0,7.48,83.0,2023-11-16 05:41:43+08:00,2023-11-16 17:22:48+08:00,500.0,Rain,light rain,10d,2023-11-16 12:00:27.873698+08:00,Bais,1.0,8185.0,0.65,2023-11-16,12:00:27,12
2023-11-16 12:01:22+08:00,10000.0,123.6402,10.1061,27.98,31.31,27.98,27.98,1012.0,75.0,1012.0,1010.0,5.84,44.0,7.78,79.0,2023-11-16 05:40:22+08:00,2023-11-16 17:20:02+08:00,501.0,Rain,moderate rain,10d,2023-11-16 12:01:22.392958+08:00,Carcar,1.0,8187.0,1.23,2023-11-16,12:01:22,12
2023-11-16 12:01:46+08:00,9002.0,124.0272,10.5208,28.03,32.17,28.03,28.03,1012.0,80.0,1012.0,1012.0,4.87,25.0,6.46,78.0,2023-11-16 05:39:23+08:00,2023-11-16 17:17:54+08:00,503.0,Rain,very heavy rain,10d,2023-11-16 12:01:46.214259+08:00,Danao,1.0,8187.0,16.8,2023-11-16,12:01:46,12
2023-11-16 12:03:36+08:00,9913.0,125.6842,7.3081,26.06,26.06,26.06,26.06,1010.0,70.0,1010.0,1009.0,4.07,7.0,5.83,88.0,2023-11-16 05:28:21+08:00,2023-11-16 17:15:40+08:00,503.0,Rain,very heavy rain,10d,2023-11-16 12:03:36.741312+08:00,Panabo,1.0,8154.0,26.61,2023-11-16,12:03:36,12
